#r     goo      goh      ghh
21.39 0.9997   1.0001   0.9999
21.42 0.9996   0.9997   0.9998
21.45 0.9996   1.0000   1.0000
21.48 1.0000   0.9999   0.9998
21.51 0.9998   0.9998   0.9998
21.54 0.9994   0.9996   0.9995
21.57 0.9996   0.9999   0.9999
21.60 0.9997   0.9997   0.9997
21.63 0.9999   0.9999   1.0000
21.66 0.9999   0.9996   0.9998
21.69 0.9997   0.9998   0.9999
21.72 0.9997   0.9998   0.9999
21.75 0.9998   1.0001   1.0000
21.78 0.9998   1.0001   1.0002
21.81 0.9999   0.9999   0.9999
21.84 1.0000   1.0001   1.0001
21.87 1.0000   1.0001   1.0001
